Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1707736904,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1707736909,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1707736914,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1707736919,50,,Aggregated,6.000000,0.000000,950,1000,1000,1000,1500,1500,1600,1700,1700,1700,1700,54,0,940.0,828.5351388148127,61.64939700101968,1688.1704879997415,164984.35185185185
1707736924,100,,Aggregated,15.500000,0.000000,510,920,970,1000,1100,1500,1600,1700,1700,1700,1700,202,0,480.0,673.4912103564259,53.75108099906356,1688.1704879997415,213690.5099009901
1707736929,150,,Aggregated,31.900000,0.000000,380,850,930,960,1100,1500,1600,1700,2000,2000,2000,457,0,380.0,592.2354103807563,52.801763000388746,1972.1920259999024,205699.295404814
1707736934,200,,Aggregated,51.800000,0.000000,360,610,900,940,1000,1500,1600,1700,2500,2500,2500,796,0,360.0,565.1390065138445,49.722944999302854,2517.552675999468,218549.65577889446
1707736939,250,,Aggregated,69.500000,0.000000,350,500,860,930,1000,1300,1600,1700,2500,2700,2700,1235,0,350.0,553.0447861684445,49.722944999302854,2682.15987000076,225661.76437246962
1707736944,300,,Aggregated,88.300000,0.000000,350,480,850,920,1000,1300,1600,1800,2800,3000,3000,1759,0,350.0,547.1744937703446,49.722944999302854,3039.8378709996905,224976.47299602046
1707736949,350,,Aggregated,100.700000,0.000000,360,630,890,950,1200,1500,2000,2200,3900,4300,4300,2342,0,360.0,603.8098146754897,49.722944999302854,4300.181138998596,232174.73783091374
1707736954,400,,Aggregated,116.600000,0.000000,380,660,920,970,1200,1600,2100,2400,4200,4800,4800,2948,0,380.0,631.7445804287601,49.722944999302854,4764.650372999313,231996.34905020354
1707736959,450,,Aggregated,136.400000,0.000000,390,690,930,1000,1300,1700,2200,2600,4200,5800,5800,3673,0,390.0,658.8625497217474,49.722944999302854,5839.25183700012,229230.49686904438
1707736964,500,,Aggregated,139.700000,0.000000,440,830,990,1100,1500,2000,2600,3100,4600,8300,8300,4416,0,440.0,726.3155220230947,49.722944999302854,8256.272351000007,229696.71467391305
1707736969,550,,Aggregated,147.400000,0.000000,470,900,1100,1200,1600,2100,2900,3500,5600,11000,11000,5169,0,470.0,786.23462900986,49.722944999302854,10682.894614999896,231076.9406074676
1707736974,600,,Aggregated,156.900000,0.000000,540,950,1100,1300,1900,2500,3400,4000,6700,11000,11000,5988,0,540.0,872.9561752852245,49.722944999302854,10682.894614999896,233099.7145958584
1707736979,650,,Aggregated,142.700000,0.000000,650,1000,1300,1500,2200,3000,4000,4700,8300,16000,16000,6747,0,650.0,994.671685416914,49.722944999302854,16329.796170999543,236048.9549429376
1707736984,700,,Aggregated,146.500000,0.000000,680,1100,1400,1600,2300,3200,4500,5300,11000,17000,17000,7501,0,680.0,1067.5733240313202,49.722944999302854,17353.99515000063,232994.8501533129
1707736989,750,,Aggregated,171.300000,0.000000,730,1100,1500,1700,2600,3500,4800,5800,12000,25000,25000,8364,0,730.0,1152.2465632833537,49.722944999302854,24949.8742830001,233132.46903395504
1707736994,800,,Aggregated,162.200000,0.100000,840,1200,1600,1800,2800,3900,5400,6800,16000,25000,25000,9152,1,840.0,1263.8179839417596,49.722944999302854,24949.8742830001,234983.5410839161
1707736999,850,,Aggregated,150.800000,0.100000,880,1300,1600,2000,3000,4300,6000,8100,17000,26000,26000,9872,1,880.0,1351.5152158582814,49.722944999302854,26153.365791000397,234874.59542139384
1707737004,900,,Aggregated,167.400000,0.000000,920,1300,1700,2100,3200,4600,6800,8900,19000,27000,34000,10723,1,920.0,1442.3741061676699,49.722944999302854,33741.06615199889,232719.81245919986
1707737009,950,,Aggregated,169.400000,0.000000,950,1400,1800,2200,3400,4900,7300,9600,21000,28000,34000,11619,1,950.0,1525.394250100775,49.722944999302854,33741.06615199889,232371.6196746708
1707737014,1000,,Aggregated,156.700000,0.000000,980,1500,1900,2300,3600,5100,7900,10000,22000,34000,35000,12312,1,980.0,1607.550466535813,49.722944999302854,34837.58402999956,231903.39692982455
1707737019,1000,,Aggregated,158.600000,0.000000,1000,1500,2000,2400,3900,5800,8800,12000,24000,35000,36000,13254,1,1000.0,1717.0570131670383,49.722944999302854,35715.10106500136,231526.07575071676
1707737024,1000,,Aggregated,170.400000,0.000000,1000,1500,2100,2500,4100,6100,9500,13000,27000,36000,44000,14076,2,1000.0,1795.45692829901,49.722944999302854,43876.838456999394,229900.58347541915
